NAME,GEOID,County,Popup_Allocated,Popup_Spent,Popup_Percent,Expend_Total_SB3044_HB 1797,Allocated_Total_SB3044_HB 1797,Expend_prcnt_SB3044_HB 1797,Expend_HB1792_SB3044,Allocated_HB1792_SB3044,Expend_prcnt_HB1792_SB3044,Expend_HB1788_HB1797,Allocated_HB1788_HB1797,Expend_prcnt_HB1788_HB1797,Teaching_Fall20,Teaching_Spring21,Teaching_Fall21
Aberdeen School District,2800360,Monroe County,"500,507.89","499,590.89",99.8,499590.89,500507.89,0.9982,360172.00,361089.00,0.9975,139418.89,139418.89,1.0000,Hybrid,Hybrid,Traditional
Alcorn School District ,2800390,Alcorn County,"1,690,393.81","1,547,217.81",91.5,1547217.81,1690393.81,0.9153,1117262.00,1260438.00,0.8864,429955.81,429955.81,1.0000,Traditional,Traditional,Traditional
Amite County School District ,2800420,Amite County,"478,735.06","311,565.00",65.1,311565.00,478735.06,0.6508,311565.00,316686.00,0.9838,-,162049.06,0.0000,Traditional,Hybrid,Traditional
Amory School District,2800450,Monroe County,"695,889.32","522,029.00",75.0,522029.00,695889.32,0.7502,468132.00,465541.00,1.0056,53897.00,230348.32,0.2340,Hybrid,Traditional,Traditional
Attala County School District ,2800510,Attala County,"497,709.00","496,493.80",99.8,496493.80,497709.00,0.9976,287581.00,288712.00,0.9961,208912.80,208997.00,0.9996,Traditional,Traditional,Traditional
Baldwyn Public School District ,2800540,Prentiss County,"321,902.43","365,819.43",113.6,365819.43,321902.43,1.1364,262458.00,218541.00,1.2010,103361.43,103361.43,1.0000,Traditional,Traditional,Traditional
Bay St. Louis-Waveland School District ,2800570,Hancock County,"685,582.95","663,337.95",96.8,663337.95,685582.95,0.9676,551777.00,574022.00,0.9612,111560.95,111560.95,1.0000,Traditional,Traditional,Traditional
Benton County School District ,2800600,Benton County,"633,271.62","608,065.57",96.0,608065.57,633271.62,0.9602,382058.00,395441.00,0.9662,226007.57,237830.62,0.9503,Hybrid,Hybrid,Traditional
Biloxi Public School District ,2800630,Harrison County,"2,026,346.91","1,976,370.40",97.5,1976370.40,2026346.91,0.9753,1737498.00,1737498.00,1.0000,238872.40,288848.91,0.8270,Hybrid,Traditional,Traditional
Booneville School District ,2800820,Prentiss County,"459,726.13","352,478.78",76.7,352478.78,459726.13,0.7667,296209.60,360150.00,0.8225,56269.18,99576.13,0.5651,Virtual,Hybrid,Traditional
Brookhaven School District ,2800840,Lincoln County,"995,923.69","934,510.59",93.8,934510.59,995923.69,0.9383,766594.34,790410.00,0.9699,167916.25,205513.69,0.8171,Hybrid,Hybrid,Traditional
